step	candidate	status	coord	product	reactant	undecided	pB_excluding_undecided	evidence	SerO_C	WatO_C	WatH2_HisNE2	C_Oleave	deacyl_attack_angle_WatO_C_Ocarb_deg	paper_deacyl_CV1	paper_deacyl_CV2	paper_deacyl_CV3	paper_deacyl_RC_proxy	SerH_HisNE2	acyl_attack_angle_SerO_C_Ocarb_deg	paper_acyl_CV1_proxy	paper_acyl_CV2	paper_acyl_CV3_proxy_rad	paper_acyl_RC_proxy	lmax_proxy_eta	lmax_proxy_pB_pred	observed_pB_excluding_undecided
deacylation	attempt041_w04	early_reactant_side_bracket	blind_work/04_qmmm_exploration/attempt041_deacylation_chainB_cser_break_probe/w04.rst7	0	3	5	0.0	attempt052	2.381931781768799	2.032843589782715	1.4994184970855713	3.1810779571533203	105.3015365600586	1.2978006601333618	0.349088191986084	0.9862626791000366	-0.3895393311977385							0.45325021180993463	0.6114117224610048	0.0
deacylation	w239	current_probe_product_biased	blind_work/04_qmmm_exploration/attempt048_deacylation_w045_w050_finer_probe/w239.rst7	6	1	5	0.8571428571428571	attempt049+050	2.3413045406341553	2.0669963359832764	1.461410403251648	3.3313817977905273	103.69355773925781	1.3483322858810425	0.2743082046508789	0.99024498462677	-0.5675879824161528							0.5176601740511757	0.6266004741779494	0.8571428571428571
deacylation	w241	product_side	blind_work/04_qmmm_exploration/attempt048_deacylation_w045_w050_finer_probe/w241.rst7	4	0	0	1.0	attempt049	2.3948163986206055	2.005547046661377	1.282339334487915	3.8005449771881104	108.24433135986328	1.4218146800994873	0.3892693519592285	0.7411596775054932	-0.3651766562461853							3.3518673010718425	0.9661659298169237	1.0
deacylation	w243	product_side	blind_work/04_qmmm_exploration/attempt048_deacylation_w045_w050_finer_probe/w243.rst7	4	0	0	1.0	attempt049	2.412220001220703	1.7458133697509766	1.0597740411758423	3.6900041103363037	114.71866607666016	1.027996301651001	0.6664066314697266	0.013420343399047852	1.0086324667930604							8.569335961217107	0.9998101973636748	1.0
deacylation	bridge_cser240_h145	accepted_ts_core	blind_work/05_ts_refinement/attempt053_deacylation_w04_w239_bridge_committor/bridge_cser240_h145_min.rst7	6	4	6	0.6	attempt053+054	2.3394503593444824	2.0963616371154785	1.477444052696228	3.2866361141204834	101.63959503173828	1.3486799001693726	0.2430887222290039	1.0338948965072632	-0.6372301232814787							0.06370284108931845	0.5159203268436232	0.6
deacylation	bridge_cser242_h148	product_shifted_upper	blind_work/05_ts_refinement/attempt053_deacylation_w04_w239_bridge_committor/bridge_cser242_h148_min.rst7	5	2	1	0.7142857142857143	attempt053	2.3657262325286865	2.0625927448272705	1.498552680015564	3.3231351375579834	104.7508773803711	1.3991376161575317	0.303133487701416	1.0011252164840698	-0.6060837447643278							0.7210734471266257	0.6728433536312423	0.7142857142857143
deacylation	bridge_cser244_h150	reactant_shifted_lower	blind_work/05_ts_refinement/attempt053_deacylation_w04_w239_bridge_committor/bridge_cser244_h150_min.rst7	2	4	2	0.3333333333333333	attempt053	2.363731622695923	2.1571784019470215	1.5524446964263916	3.3427250385284424	99.94918823242188	1.4177422523498535	0.20655322074890137	1.102356195449829	-0.826475176811218							-0.2921576735363788	0.4274757151127344	0.3333333333333333
deacylation	n00_center	lower_after_extension	blind_work/05_ts_refinement/attempt055_deacylation_cser240_local_ensemble/n00_center_min.rst7	1	4	3	0.2	attempt055+056	2.2364745140075684	2.1335952281951904	1.555282473564148	3.379152774810791	101.24608612060547	1.3978530168533325	0.10287928581237793	1.1081293821334839	-0.9457454121112822							-0.6411360610253692	0.3449897764155021	0.2
deacylation	n01_more_attack	accepted_ts_core	blind_work/05_ts_refinement/attempt055_deacylation_cser240_local_ensemble/n01_more_attack_min.rst7	3	2	3	0.6	attempt055+056	2.261552095413208	2.1162917613983154	1.515736699104309	3.3465733528137207	102.21492004394531	1.369139552116394	0.14526033401489258	1.0760489702224731	-0.8271351921558379							-0.4078967715833096	0.3994165429305874	0.6
deacylation	n02_less_attack	lower_reactant_side	blind_work/05_ts_refinement/attempt055_deacylation_cser240_local_ensemble/n02_less_attack_min.rst7	0	2	2	0.0	attempt055	2.2560007572174072	2.1421918869018555	1.571341633796692	3.3831593990325928	101.02444458007812	1.4120131731033325	0.11380887031555176	1.1189697980880737	-0.9570565569400787							-0.649563514369678	0.34308790510561354	0.0
deacylation	n03_more_break	reactant_side	blind_work/05_ts_refinement/attempt055_deacylation_cser240_local_ensemble/n03_more_break_min.rst7	0	3	1	0.0	attempt055	2.272300958633423	2.146228313446045	1.5573363304138184	3.3822262287139893	100.91922760009766	1.4073402881622314	0.12607264518737793	1.1145946979522705	-0.9307931041717528							-0.6088978566912256	0.35231065268278383	0.0
deacylation	n04_less_break	undecided_reactant_side	blind_work/05_ts_refinement/attempt055_deacylation_cser240_local_ensemble/n04_less_break_min.rst7	0	1	3	0.0	attempt055	2.1795103549957275	2.136357307434082	1.5627644062042236	3.4022583961486816	100.86134338378906	1.3938308954238892	0.04315304756164551	1.1164695024490356	-1.0279741418361663							-0.8515499518846649	0.2991078208552414	0.0
deacylation	n05_proton_late	accepted_ts_core	blind_work/05_ts_refinement/attempt055_deacylation_cser240_local_ensemble/n05_proton_late_min.rst7	3	2	3	0.6	attempt055+056	2.236450433731079	2.1335813999176025	1.5591208934783936	3.3791544437408447	101.24299621582031	1.400062918663025	0.10286903381347656	1.1100441217422485	-0.9500274193286895							-0.6477853668904386	0.3434887732269883	0.6
